ObjectID,GlobalID,What type of litter bin?,What is it's condition?,ParentGlobalID,CreationDate,Creator,EditDate,Editor,x,y
62,f1a755d9-4938-4eef-a202-0850e00df1ad,iron,useable,6aaae81e-912a-4850-a11a-c29268b9f1bb,6/11/2017 6:33:23 PM,,6/11/2017 6:33:23 PM,,-85.7244087104553,38.2401639456286
63,da305a85-389b-4950-a12d-575318f0c1cf,iron,useable,6aaae81e-912a-4850-a11a-c29268b9f1bb,6/11/2017 6:33:23 PM,,6/11/2017 6:33:23 PM,,-85.7235369925254,38.2397771627067
64,6b607681-bfca-461a-8d96-38c3cc648ff8,wire,useable,6aaae81e-912a-4850-a11a-c29268b9f1bb,6/11/2017 6:33:23 PM,,6/11/2017 6:33:23 PM,,-85.7205729001069,38.2381251734106
65,c438e4c1-573c-4d7b-b78a-a73e79663c5e,iron,useable,6aaae81e-912a-4850-a11a-c29268b9f1bb,6/11/2017 6:33:23 PM,,6/11/2017 6:33:23 PM,,-85.7197693270498,38.2376797171666
66,f80a8109-e859-4927-9fd2-77d488c9ed63,iron,useable,6aaae81e-912a-4850-a11a-c29268b9f1bb,6/11/2017 6:33:23 PM,,6/11/2017 6:33:23 PM,,-85.719053596338,38.2372953649966
67,c2c175d6-5d55-46aa-867d-154bfb7873f1,iron,useable,6aaae81e-912a-4850-a11a-c29268b9f1bb,6/11/2017 6:33:23 PM,,6/11/2017 6:33:23 PM,,-85.7187178172969,38.2370719872771
68,309b5513-fb34-4dfc-b06e-154c2fd9233f,iron,useable,6aaae81e-912a-4850-a11a-c29268b9f1bb,6/11/2017 6:33:23 PM,,6/11/2017 6:33:23 PM,,-85.7165489160323,38.2358595868929
69,1f5feff0-83ee-4f1b-8beb-0dbcb5c42f2d,iron,useable,6aaae81e-912a-4850-a11a-c29268b9f1bb,6/11/2017 6:33:23 PM,,6/11/2017 6:33:23 PM,,-85.7160289865785,38.2356795017032
70,87526afc-4067-4604-8be9-3d1446971aa6,iron,useable,6aaae81e-912a-4850-a11a-c29268b9f1bb,6/11/2017 6:33:23 PM,,6/11/2017 6:33:23 PM,,-85.7155761123502,38.235388314387
71,5b401942-d449-4151-af93-03f6c6ed3995,iron,useable,6aaae81e-912a-4850-a11a-c29268b9f1bb,6/11/2017 6:33:23 PM,,6/11/2017 6:33:23 PM,,-85.7150521595829,38.2350736996515
72,606142f1-5e65-422d-839e-7fdf4ad481e5,iron,useable,6aaae81e-912a-4850-a11a-c29268b9f1bb,6/11/2017 6:33:23 PM,,6/11/2017 6:33:23 PM,,-85.7136470173352,38.2343049534021
73,fc870cf3-864c-4c0a-9494-979950be4396,iron,useable,6aaae81e-912a-4850-a11a-c29268b9f1bb,6/11/2017 6:33:23 PM,,6/11/2017 6:33:23 PM,,-85.713345017364,38.2341067213921
74,0cdbf7c0-d3dc-4c9a-aa56-888b21feef82,iron,not_useable,6aaae81e-912a-4850-a11a-c29268b9f1bb,6/11/2017 6:33:23 PM,,6/11/2017 6:33:23 PM,,-85.7122622431123,38.2335714949651
75,9bb865c3-18a5-45ff-8b1b-9203a5c057a4,iron,useable,6aaae81e-912a-4850-a11a-c29268b9f1bb,6/11/2017 6:33:23 PM,,6/11/2017 6:33:23 PM,,-85.7117808704131,38.2333646715043
76,ca8ea23b-18c1-459d-8aae-676ab397f111,iron,useable,6aaae81e-912a-4850-a11a-c29268b9f1bb,6/11/2017 6:33:23 PM,,6/11/2017 6:33:23 PM,,-85.7113849093073,38.2330697123317
77,ae6a8d4a-e863-4b03-9543-3e4bf5fe1f6f,iron,useable,6aaae81e-912a-4850-a11a-c29268b9f1bb,6/11/2017 6:33:23 PM,,6/11/2017 6:33:23 PM,,-85.7108913828486,38.2328610867618
78,d4e15dac-8c1f-4879-98c4-e7222b231ff6,iron,useable,6aaae81e-912a-4850-a11a-c29268b9f1bb,6/11/2017 6:33:23 PM,,6/11/2017 6:33:23 PM,,-85.7102844492399,38.2324054884149
79,c326830f-176c-4b8d-a01b-e210550e302f,iron,useable,6aaae81e-912a-4850-a11a-c29268b9f1bb,6/11/2017 6:33:23 PM,,6/11/2017 6:33:23 PM,,-85.709526054641,38.2320250338299
80,f54a353f-3980-4a97-b766-96d9cf713a19,iron,useable,e4924651-4b48-4562-98cd-3b381ced1758,6/11/2017 6:34:29 PM,,6/11/2017 6:34:29 PM,,-85.68353703,38.22229144
81,be154734-aa43-4e96-aa2e-b49eebe596e7,mushroom,useable,e4924651-4b48-4562-98cd-3b381ced1758,6/11/2017 6:34:29 PM,,6/11/2017 6:34:29 PM,,-85.68378283,38.22242639
82,75d4c95d-9bbd-4f4c-a3e8-926a8f753a20,wire,useable,e4924651-4b48-4562-98cd-3b381ced1758,6/11/2017 6:34:29 PM,,6/11/2017 6:34:29 PM,,-85.68439375,38.22291994
83,a62c9caa-9740-427d-90cc-3bc5fae1f4a3,wire,useable,e4924651-4b48-4562-98cd-3b381ced1758,6/11/2017 6:34:29 PM,,6/11/2017 6:34:29 PM,,-85.6827142,38.22191339
84,cce6c1a3-d356-4bf8-8aa4-3adaa6012515,wire,useable,e4924651-4b48-4562-98cd-3b381ced1758,6/11/2017 6:34:29 PM,,6/11/2017 6:34:29 PM,,-85.67820005,38.21850372
85,dba3497a-355f-4d8c-bccd-602a1200ccc3,wire,useable,e4924651-4b48-4562-98cd-3b381ced1758,6/11/2017 6:34:29 PM,,6/11/2017 6:34:29 PM,,-85.67719711,38.21773774
86,57b3b9cd-a163-4828-9d90-9004f12bf4cd,wire,useable,e4924651-4b48-4562-98cd-3b381ced1758,6/11/2017 6:34:29 PM,,6/11/2017 6:34:29 PM,,-85.67482502,38.21580788
87,45cebc63-00b2-4886-b196-45229ab6534f,wire,useable,e4924651-4b48-4562-98cd-3b381ced1758,6/11/2017 6:34:29 PM,,6/11/2017 6:34:29 PM,,-85.67333694,38.21400411
88,85fd3fb9-75f2-4dbd-9552-d90d3c1c710b,mushroom,useable,e4924651-4b48-4562-98cd-3b381ced1758,6/11/2017 6:34:29 PM,,6/11/2017 6:34:29 PM,,-85.67274565,38.21329507
